city,type,neighborhood,area_sqm,rooms,floor,price_min_usd,price_max_usd,price_per_sqm_usd,condition,year,tier,notes
Damascus,APARTMENT,Dummar Project,140,3,8,130000,250000,1500,modern,2025,high,Tower living
Damascus,APARTMENT,Dummar Project,160,4,10,170000,300000,1700,luxury,2025,high,City views
# DAMASCUS - Mid-Range Areas
Damascus,APARTMENT,Zahira,120,3,3,70000,120000,850,good,2025,mid,Accessible area
Damascus,APARTMENT,Al-Adawi,130,3,4,80000,140000,950,renovated,2025,mid,Refurbished units
Damascus,APARTMENT,Bab Sharqi,100,2,2,70000,110000,950,varies,2025,mid,Historic area
Damascus,APARTMENT,Bab Sharqi,140,3,3,90000,140000,900,good,2025,mid,Central location
Damascus,APARTMENT,Qudsaya,120,3,3,110000,170000,1200,modern,2025,mid,Damascus suburbs
# DAMASCUS - Budget Areas
Damascus,APARTMENT,Barzeh,100,2,2,35000,70000,550,varies,2025,budget,Affordable option
Damascus,APARTMENT,Barzeh,120,3,3,45000,90000,650,good,2025,budget,Better condition
Damascus,APARTMENT,Rukn al-Din,90,2,2,40000,75000,700,varies,2025,budget,Future potential
Damascus,APARTMENT,Masaken Barzeh,80,2,1,35000,60000,600,needs_renovation,2025,budget,Starter homes
# DAMASCUS - Villas
Damascus,HOUSE,Dummar,250,5,2,300000,900000,2500,luxury,2025,premium,Villas with views
Damascus,HOUSE,Al-Malki,300,6,2,800000,1500000,4000,luxury,2025,premium,Exclusive villas
Damascus,HOUSE,Mezzeh,220,5,2,400000,800000,3000,luxury,2025,high,Family villas
# LATAKIA - Coastal Premium
Latakia,APARTMENT,Al-Amerkan,100,2,4,150000,220000,1800,luxury,2025,prime,Coastal prime
Latakia,APARTMENT,Al-Amerkan,120,3,5,180000,270000,2000,luxury,2025,prime,Sea views
Latakia,APARTMENT,Az-Zira'a,110,3,3,165000,230000,1900,modern,2025,prime,Agricultural area
Latakia,APARTMENT,Tenth Project,100,2,4,150000,200000,1800,modern,2025,prime,Popular development
Latakia,APARTMENT,Seafront,120,3,5,80000,150000,1100,varies,2025,prime,Beach access
Latakia,APARTMENT,Seafront,150,4,6,120000,180000,1100,luxury,2025,prime,Premium sea view
# LATAKIA - Mid-Range
Latakia,APARTMENT,City Center,100,2,3,30000,50000,400,good,2025,mid,Compact apartment
Latakia,APARTMENT,City Center,130,3,4,40000,70000,480,modern,2025,mid,Family unit
Latakia,APARTMENT,Residential Areas,100,3,2,30000,70000,550,varies,2025,mid,Standard housing
# LATAKIA - Budget
Latakia,APARTMENT,Inner Districts,60,1,2,18000,28000,400,basic,2025,budget,One bedroom
Latakia,APARTMENT,Inner Districts,80,2,2,22000,35000,380,basic,2025,budget,Budget option
Latakia,APARTMENT,Outskirts,100,2,1,25000,40000,350,varies,2025,budget,Affordable area
# HOMS
Homs,APARTMENT,IPC District,120,3,4,60000,100000,700,new,2025,prime,New development
Homs,APARTMENT,City Center,100,2,3,100000,140000,1200,modern,2025,mid,Central location
Homs,APARTMENT,Outside Center,100,2,2,35000,55000,450,varies,2025,budget,Affordable option
Homs,APARTMENT,Suburbs,80,2,1,25000,40000,400,needs_renovation,2025,budget,Budget starter
# TARTUS - Coastal
Tartus,APARTMENT,City Center,120,3,4,55000,120000,850,modern,2025,prime,Central coastal
Tartus,APARTMENT,Coastal Promenade,130,3,5,70000,120000,850,modern,2025,prime,Sea views
Tartus,APARTMENT,Al-Ghadeer,100,2,3,45000,80000,700,good,2025,mid,Residential area
Tartus,APARTMENT,Al-Areed,110,3,3,50000,80000,650,good,2025,mid,Mid-range
Tartus,APARTMENT,Dahiyat Al-Assad,90,2,2,30000,50000,500,varies,2025,budget,Government housing
Tartus,APARTMENT,Under Construction,100,3,0,25000,65000,500,new,2025,budget,Pre-sale
# TARTUS - Houses
Tartus,HOUSE,Inner Neighborhoods,100,2,1,25000,40000,350,varies,2025,mid,Small house
Tartus,HOUSE,Near Center,140,3,1,45000,70000,450,good,2025,mid,Medium house
Tartus,HOUSE,Sea View Areas,180,4,1,80000,150000,750,modern,2025,prime,Large with views
# SAFITA/DREIKISH (Tartus suburbs)
Tartus,APARTMENT,Safita,100,2,2,55000,80000,700,good,2025,mid,Mountain town
Tartus,APARTMENT,Dreikish,90,2,2,50000,70000,700,good,2025,mid,Quiet suburb
